Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
264158,The Raven,Edgar Allan Poe,"Poe, Edgar Allan",Gustave Doré,"=""0486290727""","=""9780486290720""",4,4.29,Dover Publications,Paperback,64,1996,1845,,2025/01/10,,,read,,,,1,0
53447,El túnel,Ernesto Sabato,"Sabato, Ernesto",Nino Pipia,"=""9871144261""","=""9789871144266""",0,4.02,Booket,Paperback,158,2003,1948,,2025/01/10,to-read,to-read (#231),to-read,,,,0,0
391729,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"Poe, Edgar Allan",,"=""0553212281""","=""9780553212280""",0,4.19,Bantam Classics,Mass Market Paperback,448,1983,1843,,2025/01/10,to-read,to-read (#230),to-read,,,,0,0
819954,L'Événement,Annie Ernaux,"Ernaux, Annie",,"=""2070419231""","=""9787780023146""",0,4.31,Gallimard,Mass Market Paperback,130,2001,2000,,2025/01/10,to-read,to-read (#229),to-read,,,,0,0
420275,The Necklace,Guy de Maupassant,"Maupassant, Guy de",Gary Kelley,"=""1568461933""","=""9781568461939""",0,3.84,Creative Editions,Hardcover,48,2004,1884,,2025/01/10,to-read,to-read (#228),to-read,,,,0,0
39291659,Go the F**k to Sleep,Adam Mansbach,"Mansbach, Adam",Ricardo Cortés,"=""1453227601""","=""9781453227602""",0,4.28,Akashic Books,Kindle Edition,17,2011,2011,,2025/01/10,to-read,to-read (#227),to-read,,,,0,0
48800,The Third Man,Graham Greene,"Greene, Graham",,"=""0140286829""","=""9780140286823""",0,3.78,Penguin Books,Paperback,157,1999,1950,,2025/01/10,to-read,to-read (#226),to-read,,,,0,0
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"Riordan, Rick",,"=""1423101464""","=""9781423101468""",4,4.42,Hyperion Books for Children,Hardcover,361,2008,2008,,2025/01/10,,,read,,,,1,0
123598,"Black Notice (Kay Scarpetta, #10)",Patricia Cornwell,"Cornwell, Patricia",,"=""0425175405""","=""9780425175408""",0,3.93,Berkley,Mass Market Paperback,441,2000,1999,,2025/01/10,to-read,to-read (#225),to-read,,,,0,0
29337291,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,"Carroll, Lewis",Scarlett Johansson,"=""""","=""""",0,3.99,Audible Studios,Audible Audio,3,2016,1865,,2025/01/10,to-read,to-read (#224),to-read,,,,0,0
8921,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"Doyle, Arthur Conan","Anne Perry, Mark Hallaq","=""""","=""""",0,4.14,Signet,Mass Market Paperback,256,2001,1902,,2025/01/10,to-read,to-read (#223),to-read,,,,0,0
899492,The Tell-Tale Heart,Edgar Allan Poe,"Poe, Edgar Allan",Byron Glaser,"=""0871917726""","=""9780871917720""",0,4.24,Creative Education,Library Binding,31,1980,1843,,2025/01/10,to-read,to-read (#222),to-read,,,,0,0
888423,Rosaura a las diez,Marco Denevi,"Denevi, Marco",,"=""0137832346""","=""9780137832347""",0,3.84,Prentice-Hall,Paperback,220,1964,1955,,2025/01/10,to-read,to-read (#221),to-read,,,,0,0
