Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-09,All About Lily Chou-Chou,2001,https://boxd.it/8nirap,4,,,2024-12-12
2025-01-09,Wicked,2024,https://boxd.it/8nhEGB,3,,,2024-12-14
2025-01-09,Civil War,2024,https://boxd.it/8nq3hn,3.5,,,2024-12-20
2025-01-07,Sonic the Hedgehog 3,2024,https://boxd.it/8meeRN,3.5,,,2024-12-21
2025-01-09,After Hours,1985,https://boxd.it/8nqi2R,5,,,2024-12-21
2025-01-09,The Worst Person in the World,2021,https://boxd.it/8nyDxR,4.5,,,2024-12-25
2025-01-10,Aftersun,2022,https://boxd.it/8ovLuT,4.5,,,2024-12-25
2025-01-10,The Rocky Horror Picture Show,1975,https://boxd.it/8otFRD,5,,,2024-12-30
2025-01-27,Videodrome,1983,https://boxd.it/8DuzNR,4.5,,,2024-12-31
2025-01-07,Nosferatu,2024,https://boxd.it/8mfcRN,4,,,2025-01-01
2025-01-07,Where the Wild Things Are,2009,https://boxd.it/8meXWt,3,,,2025-01-03
2025-01-10,Argo,2012,https://boxd.it/8otwxz,4,,,2025-01-04
2025-01-07,A Complete Unknown,2024,https://boxd.it/8meaIR,4,,,2025-01-05
2025-01-09,Dallas Buyers Club,2013,https://boxd.it/8nqYMd,4.5,,,2025-01-06
2025-01-10,Singin' in the Rain,1952,https://boxd.it/8oD6az,4.5,,,2025-01-09
2025-01-10,Mufasa: The Lion King,2024,https://boxd.it/8p1KP1,3.5,,,2025-01-09
2025-01-12,Roman Holiday,1953,https://boxd.it/8r0XZp,4.5,,,2025-01-11
2025-01-14,Sunset Boulevard,1950,https://boxd.it/8sJ91N,5,,,2025-01-12
2025-01-14,East of Eden,1955,https://boxd.it/8sKTVz,4.5,,,2025-01-13
2025-01-18,Memento,2000,https://boxd.it/8w8td7,4,,,2025-01-15
2025-01-18,The Brutalist,2024,https://boxd.it/8w8tFF,5,,,2025-01-17
2025-01-23,Buffalo '66,1998,https://boxd.it/8zJuuf,4,,,2025-01-22
2025-01-24,Wild Strawberries,1957,https://boxd.it/8AydtL,5,,,2025-01-22
2025-01-24,Dancer in the Dark,2000,https://boxd.it/8Ayxxt,5,,,2025-01-23
2025-01-24,Nickel Boys,2024,https://boxd.it/8ASnOJ,4.5,,,2025-01-23
2025-01-27,Cabaret,1972,https://boxd.it/8DfZe9,4,,,2025-01-25
2025-01-27,Conclave,2024,https://boxd.it/8DaTTZ,4,,,2025-01-26
2025-01-27,Elephant,2003,https://boxd.it/8DuqZJ,3,,,2025-01-26
2025-01-30,One of Them Days,2025,https://boxd.it/8Fx7Tr,3,,,2025-01-29
2025-01-31,Suspiria,1977,https://boxd.it/8G86fp,3.5,,,2025-01-30
2025-02-01,Three Colours: Blue,1993,https://boxd.it/8GFZjx,4.5,,,2025-01-31
2025-02-01,Three Colours: White,1994,https://boxd.it/8GHUdX,4.5,,,2025-01-31
2025-02-02,Three Colours: Red,1994,https://boxd.it/8HcJRf,5,,,2025-02-01
2025-02-02,Paddington,2014,https://boxd.it/8HCrTf,3,,,2025-02-01
2025-02-02,Paddington 2,2017,https://boxd.it/8HG5dz,4.5,,,2025-02-01
2025-02-05,Me Before You,2016,https://boxd.it/8JMGCr,3.5,,,2025-02-04
2025-02-06,It Happened One Night,1934,https://boxd.it/8Kr1eb,4.5,,,2025-02-05
2025-02-07,Becoming Led Zeppelin,2025,https://boxd.it/8KT807,3.5,,,2025-02-06
2025-02-08,I'm Still Here,2024,https://boxd.it/8Lz7l3,4,,,2025-02-07
2025-02-09,Paddington in Peru,2024,https://boxd.it/8M761p,4,,,2025-02-08
2025-02-09,Chungking Express,1994,https://boxd.it/8MpYn1,4,,,2025-02-08
2025-02-13,His Girl Friday,1940,https://boxd.it/8OPR3N,3.5,,,2025-02-12
2025-02-14,Sense and Sensibility,1995,https://boxd.it/8Pt1vF,4,,,2025-02-13
2025-02-15,Noises Off...,1992,https://boxd.it/8Q4mjf,4.5,,,2025-02-14
2025-02-17,Punch-Drunk Love,2002,https://boxd.it/8RFdS9,4,,,2025-02-16
2025-02-17,Cannibal Holocaust,1980,https://boxd.it/8RHcBP,1.5,,,2025-02-16
2025-02-20,He's Just Not That Into You,2009,https://boxd.it/8TwHrn,3,,,2025-02-19
2025-02-25,Autumn Sonata,1978,https://boxd.it/8WUhHf,4.5,,,2025-02-24
2025-03-07,Mickey 17,2025,https://boxd.it/92X7ZX,4,,,2025-03-06
2025-04-23,Midnight Cowboy,1969,https://boxd.it/9uxG5b,4.5,,,2025-03-07
2025-04-23,Prisoners,2013,https://boxd.it/9uxnXN,4,,,2025-03-25
2025-04-23,Ran,1985,https://boxd.it/9uwwpD,5,,,2025-03-26
2025-03-30,Magnolia,1999,https://boxd.it/9go48n,4.5,,,2025-03-28
2025-04-04,A Minecraft Movie,2025,https://boxd.it/9jlYz1,2.5,,,2025-04-03
2025-04-07,Snow White,2025,https://boxd.it/9lnJY3,1,,,2025-04-06
2025-04-22,Warfare,2025,https://boxd.it/9tRxJx,3.5,,,2025-04-21
2025-04-22,The Big Lebowski,1998,https://boxd.it/9ufRpZ,4.5,,,2025-04-21
2025-04-23,Dreams,1990,https://boxd.it/9urroF,3.5,,,2025-04-22
2025-05-08,Ring,1998,https://boxd.it/9DyrUB,3,,,2025-05-01
2025-05-08,Incantation,2022,https://boxd.it/9DyqTd,3.5,,,2025-05-04
2025-05-08,Little Miss Sunshine,2006,https://boxd.it/9DyqJx,4.5,,,2025-05-06
2025-05-13,Final Destination,2000,https://boxd.it/9G24Nl,3,,,2025-05-10
2025-05-13,The Final Destination,2009,https://boxd.it/9G24q7,1.5,,,2025-05-11
2025-05-13,Final Destination 3,2006,https://boxd.it/9G24Cd,2,,,2025-05-11
2025-05-13,Final Destination 2,2003,https://boxd.it/9G25Vv,3,,,2025-05-11
2025-05-14,Final Destination 5,2011,https://boxd.it/9GPFev,1.5,,,2025-05-12
2025-05-27,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9ONpeH,3.5,,,2025-05-22
2025-05-26,The Wolf House,2018,https://boxd.it/9O9E4n,4,,,2025-05-25
2025-05-27,Lost Highway,1997,https://boxd.it/9OGlBN,4.5,,,2025-05-26
2025-05-27,"Synecdoche, New York",2008,https://boxd.it/9OMVXd,4.5,,,2025-05-26
2025-06-04,The Elephant Man,1980,https://boxd.it/9Tvr2x,4,,,2025-05-27
2025-05-29,The Cranes Are Flying,1957,https://boxd.it/9Q1b9P,5,,,2025-05-28
2025-06-03,Karate Kid: Legends,2025,https://boxd.it/9Tfe3l,3,,,2025-05-29
2025-06-03,I Dream in Another Language,2017,https://boxd.it/9TfcX7,5,,,2025-06-02
2025-06-20,28 Years Later,2025,https://boxd.it/a3Gd7l,3,,,2025-06-19
2025-06-24,The Piano Teacher,2001,https://boxd.it/a6vWq3,4.5,,,2025-06-23
2025-06-26,F1,2025,https://boxd.it/a7NCPn,4,,,2025-06-25
2025-06-27,Irreversible,2002,https://boxd.it/a8p7NV,3.5,,,2025-06-26
2025-07-03,Jurassic World Rebirth,2025,https://boxd.it/acuCnP,2,,,2025-07-02
2025-07-09,Funeral Parade of Roses,1969,https://boxd.it/agz5Hj,4.5,,,2025-07-03
2025-07-11,Ben-Hur,1959,https://boxd.it/ahY4Hr,4.5,,,2025-07-10
2025-07-15,Gentlemen Prefer Blondes,1953,https://boxd.it/aliF7H,3.5,,,2025-07-12
2025-07-15,Superman,2025,https://boxd.it/aliEal,3,,,2025-07-13
2025-07-15,The Lego Batman Movie,2017,https://boxd.it/aliDDh,4,,,2025-07-14
2025-07-27,The Phantom of the Opera at the Royal Albert Hall,2011,https://boxd.it/auJKzL,5,,,2025-07-22
2025-07-27,KPop Demon Hunters,2025,https://boxd.it/auJK3l,3.5,,,2025-07-24
2025-07-27,Happy Gilmore 2,2025,https://boxd.it/auJJpv,3,,,2025-07-26
2025-08-11,Freakier Friday,2025,https://boxd.it/aGyhxH,3,,,2025-08-06
2025-08-11,Heretic,2024,https://boxd.it/aGygUF,3,,,2025-08-09
2025-08-11,Destino,2003,https://boxd.it/aGygcN,4,,,2025-08-10
2025-08-11,The God Man,2025,https://boxd.it/aGyZIJ,3.5,,,2025-08-10
2025-08-11,13th,2016,https://boxd.it/aGWccn,5,,,2025-08-10
2025-08-11,Titan: The OceanGate Submersible Disaster,2025,https://boxd.it/aGWbSH,3.5,,,2025-08-11
2025-08-12,No Other Land,2024,https://boxd.it/aHFFdf,5,,,2025-08-11
2025-08-16,Weapons,2025,https://boxd.it/aKu0cF,3.5,,,2025-08-16
2025-08-27,Harakiri,1962,https://boxd.it/aSuT8F,4.5,,,2025-08-26
2025-09-05,Eddington,2025,https://boxd.it/aYswXP,3.5,,,2025-09-04
2025-09-06,The Conjuring: Last Rites,2025,https://boxd.it/aZ4grz,2.5,,,2025-09-05
2025-09-09,The Cabinet of Dr. Caligari,1920,https://boxd.it/b1fqWH,4.5,,,2025-09-08
2025-09-09,Boogie Nights,1997,https://boxd.it/b1fqFL,5,,,2025-09-09
2025-09-15,The Long Walk,2025,https://boxd.it/b4DFDb,3,,,2025-09-14
2025-09-27,One Battle After Another,2025,https://boxd.it/bbM8iP,4.5,,,2025-09-27
2025-10-03,The Smashing Machine,2025,https://boxd.it/bfrdyR,3.5,,,2025-10-02
2025-10-10,Antichrist,2009,https://boxd.it/bjzCQt,3.5,,,2025-10-08
2025-10-17,House on Haunted Hill,1959,https://boxd.it/boadrN,3,,,2025-10-14
2025-10-20,The Lost Bus,2025,https://boxd.it/bqtC4Z,3.5,,,2025-10-19
2025-10-30,Bugonia,2025,https://boxd.it/bx3cUr,4,,,2025-10-24
2025-10-30,Gone Girl,2014,https://boxd.it/bx3c3d,4.5,,,2025-10-26
2025-10-30,The Sixth Sense,1999,https://boxd.it/bx3btp,4.5,,,2025-10-27
2025-10-30,War of the Worlds,2005,https://boxd.it/bx3bDT,3.5,,,2025-10-27
2025-10-31,Frankenstein,2025,https://boxd.it/by8DYT,4,,,2025-10-30
2025-11-26,Zootopia 2,2025,https://boxd.it/bQqEbV,3,,,2025-11-25
2025-11-30,The Apprentice,2024,https://boxd.it/bSVpGp,4,,,2025-11-29
2025-11-30,Frankenstein: The Anatomy Lesson,2025,https://boxd.it/bT2Xj9,4,,,2025-11-29
2025-12-01,Snow Bear,2024,https://boxd.it/bTRxbF,4,,,2025-11-30
2025-12-03,Rental Family,2025,https://boxd.it/bV4R8V,4.5,,,2025-12-02
2025-12-06,Five Nights at Freddy's 2,2025,https://boxd.it/bWo8sb,2.5,,,2025-12-04
2025-12-08,Hamnet,2025,https://boxd.it/bXZRf5,4,,,2025-12-05
2025-12-10,World of Tomorrow,2015,https://boxd.it/bZylqJ,5,,,2025-12-09
2025-12-10,Anastasia,1997,https://boxd.it/bZS3Hx,3.5,,,2025-12-09
2025-12-14,Chinatown,1974,https://boxd.it/c2tSXt,5,,,2025-12-13
2025-12-17,When Harry Met Sally...,1989,https://boxd.it/c5n8WJ,4.5,,,2025-12-16
2025-12-21,The Battle of Algiers,1966,https://boxd.it/c8B59J,5,,,2025-12-20
2025-12-21,The Secret of Kells,2009,https://boxd.it/c8PkqD,4,,,2025-12-20
2025-12-21,Eternity,2025,https://boxd.it/c9dCKp,4,,,2025-12-20
2025-12-22,Avatar: Fire and Ash,2025,https://boxd.it/c9V4OF,3.5,,,2025-12-21
2025-12-24,Marty Supreme,2025,https://boxd.it/ccAPMh,4,,,2025-12-23
2025-12-26,Cast Away,2000,https://boxd.it/cf1NeT,4,,,2025-12-25
2025-12-29,Anaconda,2025,https://boxd.it/ci0rQB,2.5,,,2025-12-28
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/cnscZp,3,,,2026-01-01
2026-01-03,Tangerine,2015,https://boxd.it/cnZGv1,4,,,2026-01-01
2026-01-08,Mishima: A Life in Four Chapters,1985,https://boxd.it/cvnncZ,5,,,2026-01-07
2026-01-09,The Man Who Could Not Remain Silent,2024,https://boxd.it/cxfrhL,4,,,2026-01-08
